nom,date,PoE,poe_passed
Nizi,2026-05-20,Pont_Nizi,0
Bunia,2026-05-20,Aeroport,189
Bunia,2026-05-20,Mudzibala,355
Bunia,2026-05-20,Pont_Simbiliabo,0
Rwampara,2026-05-20,Pont_Shari,0
Rwampara,2026-05-20,Dele,102
Rwampara,2026-05-20,Chai,0
Tchomia,2026-05-20,Tchomia,105
Tchomia,2026-05-20,Nyamusasi,0
Tchomia,2026-05-20,Kasenyi,186
Tchomia,2026-05-20,Mandje,0
Nyakunde,2026-05-20,Marabo,0
Nyakunde,2026-05-20,Entree_Nyak,0
Nyakunde,2026-05-20,Sota,0
Nyakunde,2026-05-20,Pont_Talolo,0
Mongbalu,2026-05-20,Poipo,0
Mongbalu,2026-05-20,Mahidede,0
Mongbalu,2026-05-20,Pont_Plito,0
Mongbalu,2026-05-20,Pont_Kirikou,0
Aru,2026-05-20,Ofoo,195
Aru,2026-05-20,Odhumoni,146
Aru,2026-05-20,Ombayi,253
Aru,2026-05-20,Sans_Plainte,124
Mahagi,2026-05-20,Anzidha,184
Nizi,2026-05-21,Pont_Nizi,0
Bunia,2026-05-21,Aeroport,0
Bunia,2026-05-21,Mudzibala,1473
Bunia,2026-05-21,Pont_Simbiliabo,0
Rwampara,2026-05-21,Pont_Shari,0
Rwampara,2026-05-21,Dele,940
Rwampara,2026-05-21,Chai,0
Tchomia,2026-05-21,Tchomia,71
Tchomia,2026-05-21,Nyamusasi,0
Tchomia,2026-05-21,Kasenyi,59
Tchomia,2026-05-21,Mandje,0
Nyakunde,2026-05-21,Marabo,0
Nyakunde,2026-05-21,Entree_Nyak,0
Nyakunde,2026-05-21,Sota,0
Nyakunde,2026-05-21,Pont_Talolo,0
Mongbalu,2026-05-21,Poipo,0
Mongbalu,2026-05-21,Mahidede,0
Mongbalu,2026-05-21,Pont_Plito,0
Mongbalu,2026-05-21,Pont_Kirikou,0
Nizi,2026-05-22,Pont_Nizi,ND
Bunia,2026-05-22,Aeroport,1332
Bunia,2026-05-22,Mudzibala,2028
Bunia,2026-05-22,Pont_Simbiliabo,ND
Rwampara,2026-05-22,Pont_Shari,1800
Rwampara,2026-05-22,Dele,1109
Rwampara,2026-05-22,Chai,243
Tchomia,2026-05-22,Tchomia,0
Tchomia,2026-05-22,Nyamusasi,167
Tchomia,2026-05-22,Kasenyi,ND
Tchomia,2026-05-22,Mandje,ND
Nyakunde,2026-05-22,Marabo,ND
Nyakunde,2026-05-22,Entree_Nyak,ND
Nyakunde,2026-05-22,Sota,ND
Nyakunde,2026-05-22,Pont_Talolo,ND
Mongbalu,2026-05-22,Poipo,ND
Mongbalu,2026-05-22,Mahidede,ND
Mongbalu,2026-05-22,Pont_Plito,ND
Mongbalu,2026-05-22,Pont_Kirikou,ND
Aru,2026-05-22,Ofoo,392
Aru,2026-05-22,Odhumoni,317
Aru,2026-05-22,Ombayi,175
Aru,2026-05-22,Sans_Plainte,121
Aru,2026-05-22,Vis_a_Vis,87
Aru,2026-05-22,Kengezi_Base,51
Nizi,2026-05-23,Pont_Nizi,ND
Bunia,2026-05-23,Aeroport,1332
Bunia,2026-05-23,Mudzibala,2028
Bunia,2026-05-23,Pont_Simbiliabo,ND
Rwampara,2026-05-23,Pont_Shari,1800
Rwampara,2026-05-23,Dele,1109
Rwampara,2026-05-23,Chai,243
Tchomia,2026-05-23,Tchomia,0
Tchomia,2026-05-23,Nyamusasi,167
Tchomia,2026-05-23,Kasenyi,ND
Tchomia,2026-05-23,Mandje,ND
Nyakunde,2026-05-23,Marabo,ND
Nyakunde,2026-05-23,Entree_Nyak,ND
Nyakunde,2026-05-23,Sota,ND
Nyakunde,2026-05-23,Pont_Talolo,ND
Mongbalu,2026-05-23,Poipo,ND
Mongbalu,2026-05-23,Mahidede,ND
Mongbalu,2026-05-23,Pont_Plito,ND
Mongbalu,2026-05-23,Pont_Kirikou,ND
Aru,2026-05-23,Ofoo,392
Aru,2026-05-23,Odhumoni,317
Aru,2026-05-23,Ombayi,175
Aru,2026-05-23,Sans_Plainte,121
Aru,2026-05-23,Vis_a_Vis,87
Aru,2026-05-23,Kengezi_Base,51
